'Dataset'|'DatasetType'|'ElementNumber'|'ElementName'|'Attribute'|
'DEMDataSet'|'element'|'dContact.08'|'Agency Contact ZIP Code'|'NV'|
'DEMDataSet'|'element'|'dContact.10'|'Agency Contact Phone Number'|'PhoneNumberType'|
'DEMDataSet'|'element'|'dContact.10'|'Agency Contact Phone Number'|'CorrelationID'|
'DEMDataSet'|'element'|'dContact.10'|'Agency Contact Phone Number'|'NV'|
'DEMDataSet'|'element'|'dContact.11'|'Agency Contact Email Address'|'NV'|
'DEMDataSet'|'element'|'dContact.11'|'Agency Contact Email Address'|'EmailAddressType'|
'DEMDataSet'|'element'|'dContact.11'|'Agency Contact Email Address'|'CorrelationID'|
'DEMDataSet'|'element'|'dContact.12'|'EMS Agency Contact Web Address'|'NV'|
'DEMDataSet'|'element'|'dContact.13'|'Agency Medical Director Degree'|'NV'|
'DEMDataSet'|'element'|'dContact.14'|'Agency Medical Director Board Certification Type'|'NV'|
'DEMDataSet'|'element'|'dContact.14'|'Agency Medical Director Board Certification Type'|'CorrelationID'|
'DEMDataSet'|'group'|'dConfiguration.ConfigurationGroup'|''|'CorrelationID'|
'DEMDataSet'|'element'|'dConfiguration.02'|'State Certification/Licensure Levels'|'CorrelationID'|
'DEMDataSet'|'element'|'dConfiguration.03'|'Procedures Permitted by the State'|'NV'|
'DEMDataSet'|'element'|'dConfiguration.03'|'Procedures Permitted by the State'|'CorrelationID'|
'DEMDataSet'|'element'|'dConfiguration.04'|'Medications Permitted by the State'|'NV'|
'DEMDataSet'|'element'|'dConfiguration.04'|'Medications Permitted by the State'|'CorrelationID'|
'DEMDataSet'|'element'|'dConfiguration.05'|'Protocols Permitted by the State'|'NV'|
'DEMDataSet'|'element'|'dConfiguration.05'|'Protocols Permitted by the State'|'CorrelationID'|
'DEMDataSet'|'group'|'dConfiguration.ProcedureGroup'|''|'CorrelationID'|
'DEMDataSet'|'element'|'dConfiguration.07'|'EMS Agency Procedures'|'CorrelationID'|
'DEMDataSet'|'group'|'dConfiguration.MedicationGroup'|''|'CorrelationID'|
'DEMDataSet'|'element'|'dConfiguration.09'|'EMS Agency Medications'|'CorrelationID'|
'DEMDataSet'|'element'|'dConfiguration.10'|'EMS Agency Protocols'|'CorrelationID'|
'DEMDataSet'|'element'|'dConfiguration.11'|'EMS Agency Specialty Service Capability'|'CorrelationID'|
'DEMDataSet'|'element'|'dConfiguration.14'|'EMD Vendor'|'NV'|
'DEMDataSet'|'element'|'dConfiguration.14'|'EMD Vendor'|'CorrelationID'|
'DEMDataSet'|'element'|'dConfiguration.15'|'Patient Monitoring Capability(ies)'|'CorrelationID'|
'DEMDataSet'|'element'|'dConfiguration.16'|'Crew Call Sign'|'CorrelationID'|
'DEMDataSet'|'element'|'dConfiguration.17'|'Dispatch Center (CAD) Name or ID'|'CorrelationID'|
'DEMDataSet'|'group'|'dLocation.LocationGroup'|''|'CorrelationID'|
'DEMDataSet'|'element'|'dLocation.06'|'EMS Location Address'|'StreetAddress2'|
'DEMDataSet'|'element'|'dLocation.12'|'EMS Location Phone Number'|'PhoneNumberType'|
'DEMDataSet'|'element'|'dLocation.12'|'EMS Location Phone Number'|'CorrelationID'|
'DEMDataSet'|'group'|'dVehicle.VehicleGroup'|''|'CorrelationID'|
'DEMDataSet'|'element'|'dVehicle.01'|'Unit/Vehicle Number'|'NV'|
'DEMDataSet'|'element'|'dVehicle.04'|'Vehicle Type'|'NV'|
'DEMDataSet'|'group'|'dVehicle.VehicleCertificationLevelsGroup'|''|'CorrelationID'|
'DEMDataSet'|'element'|'dVehicle.10'|'Vehicle Model Year'|'NV'|
'DEMDataSet'|'group'|'dVehicle.YearGroup'|''|'CorrelationID'|
'DEMDataSet'|'element'|'dVehicle.13'|'Annual Vehicle Miles/Kilometers'|'DistanceUnit'|
'DEMDataSet'|'group'|'dPersonnel.PersonnelGroup'|''|'CorrelationID'|
'DEMDataSet'|'element'|'dPersonnel.01'|'EMS Personnel's Last Name'|'NV'|
'DEMDataSet'|'element'|'dPersonnel.02'|'EMS Personnel's First Name'|'NV'|
'DEMDataSet'|'element'|'dPersonnel.03'|'EMS Personnel's Middle Name/Initial'|'NV'|
'DEMDataSet'|'element'|'dPersonnel.04'|'EMS Personnel's Mailing Address'|'StreetAddress2'|
'DEMDataSet'|'element'|'dPersonnel.09'|'EMS Personnel's Phone Number'|'PhoneNumberType'|
'DEMDataSet'|'element'|'dPersonnel.09'|'EMS Personnel's Phone Number'|'CorrelationID'|
'DEMDataSet'|'element'|'dPersonnel.10'|'EMS Personnel's Email Address'|'EmailAddressType'|
'DEMDataSet'|'element'|'dPersonnel.10'|'EMS Personnel's Email Address'|'CorrelationID'|
'DEMDataSet'|'element'|'dPersonnel.11'|'EMS Personnel's Date of Birth'|'NV'|
'DEMDataSet'|'element'|'dPersonnel.12'|'EMS Personnel's Gender'|'NV'|
'DEMDataSet'|'element'|'dPersonnel.13'|'EMS Personnel's Race'|'NV'|
'DEMDataSet'|'element'|'dPersonnel.13'|'EMS Personnel's Race'|'CorrelationID'|
'DEMDataSet'|'element'|'dPersonnel.16'|'EMS Personnel's Degree Subject/Field of Study'|'CorrelationID'|
'DEMDataSet'|'element'|'dPersonnel.17'|'EMS Personnel's Motor Vehicle License Type'|'CorrelationID'|
'DEMDataSet'|'group'|'dPersonnel.ImmunizationsGroup'|''|'CorrelationID'|
'DEMDataSet'|'element'|'dPersonnel.20'|'EMS Personnel's Foreign Language Ability'|'CorrelationID'|
'DEMDataSet'|'group'|'dPersonnel.LicensureGroup'|''|'CorrelationID'|
'DEMDataSet'|'element'|'dPersonnel.22'|'EMS Personnel's State of Licensure'|'NV'|
'DEMDataSet'|'element'|'dPersonnel.23'|'EMS Personnel's State's Licensure ID Number'|'NV'|
'DEMDataSet'|'element'|'dPersonnel.24'|'EMS Personnel's State EMS Certification Licensure Level'|'NV'|
'DEMDataSet'|'element'|'dPersonnel.31'|'EMS Personnel's Employment Status'|'NV'|
'DEMDataSet'|'element'|'dPersonnel.32'|'EMS Personnel's Employment Status Date'|'NV'|
'DEMDataSet'|'element'|'dPersonnel.34'|'EMS Personnel's Primary EMS Job Role'|'NV'|
'DEMDataSet'|'element'|'dPersonnel.35'|'EMS Personnel's Other Job Responsibilities'|'NV'|
'DEMDataSet'|'element'|'dPersonnel.35'|'EMS Personnel's Other Job Responsibilities'|'CorrelationID'|
'DEMDataSet'|'group'|'dPersonnel.CertificationLevelGroup'|''|'CorrelationID'|
'DEMDataSet'|'group'|'dDevice.DeviceGroup'|''|'CorrelationID'|
'DEMDataSet'|'element'|'dDevice.03'|'Medical Device Type'|'CorrelationID'|
'DEMDataSet'|'group'|'dFacilityGroup'|''|'CorrelationID'|
'DEMDataSet'|'group'|'dFacility.FacilityGroup'|''|'CorrelationID'|
'DEMDataSet'|'element'|'dFacility.04'|'Hospital Designations'|'CorrelationID'|
'DEMDataSet'|'element'|'dFacility.05'|'Facility National Provider Identifier'|'CorrelationID'|
'DEMDataSet'|'element'|'dFacility.07'|'Facility Street Address'|'StreetAddress2'|
'DEMDataSet'|'element'|'dFacility.15'|'Facility Phone Number'|'PhoneNumberType'|
'DEMDataSet'|'element'|'dFacility.15'|'Facility Phone Number'|'CorrelationID'|
'DEMDataSet'|'group'|'dCustomResults.ResultsGroup'|''|'CorrelationID'|
'DEMDataSet'|'element'|'dCustomResults.01'|'Custom Data Element Result'|'NV'|
'DEMDataSet'|'element'|'dCustomResults.01'|'Custom Data Element Result'|'PN'|
'EMSDataSet'|'element'|'eState.01'|'State Required Element'|'TIMESTAMP'|
'EMSDataSet'|'group'|'eCustomConfiguration.CustomGroup'|''|'CustomElementID'|
'EMSDataSet'|'element'|'eCustomConfiguration.01'|'Custom Data Element Title'|'nemsisElement'|
'EMSDataSet'|'element'|'eCustomConfiguration.06'|'Custom Data Element Potential Values'|'nemsisCode'|
'EMSDataSet'|'element'|'eCustomConfiguration.06'|'Custom Data Element Potential Values'|'customValueDescription'|
'EMSDataSet'|'element'|'eResponse.02'|'EMS Agency Name'|'NV'|
'EMSDataSet'|'element'|'eResponse.03'|'Incident Number'|'NV'|
'EMSDataSet'|'element'|'eResponse.04'|'EMS Response Number'|'NV'|
'EMSDataSet'|'element'|'eResponse.08'|'Type of Dispatch Delay'|'NV'|
'EMSDataSet'|'element'|'eResponse.08'|'Type of Dispatch Delay'|'CorrelationID'|
'EMSDataSet'|'element'|'eResponse.09'|'Type of Response Delay'|'NV'|
'EMSDataSet'|'element'|'eResponse.09'|'Type of Response Delay'|'CorrelationID'|
'EMSDataSet'|'element'|'eResponse.10'|'Type of Scene Delay'|'NV'|
'EMSDataSet'|'element'|'eResponse.10'|'Type of Scene Delay'|'CorrelationID'|
'EMSDataSet'|'element'|'eResponse.11'|'Type of Transport Delay'|'NV'|
'EMSDataSet'|'element'|'eResponse.11'|'Type of Transport Delay'|'CorrelationID'|
'EMSDataSet'|'element'|'eResponse.12'|'Type of Turn-Around Delay'|'NV'|
'EMSDataSet'|'element'|'eResponse.12'|'Type of Turn-Around Delay'|'CorrelationID'|
'EMSDataSet'|'element'|'eResponse.24'|'Additional Response Mode Descriptors'|'NV'|
'EMSDataSet'|'element'|'eResponse.24'|'Additional Response Mode Descriptors'|'CorrelationID'|
'EMSDataSet'|'element'|'eDispatch.02'|'EMD Performed'|'NV'|
'EMSDataSet'|'group'|'eCrew.CrewGroup'|''|'CorrelationID'|
'EMSDataSet'|'element'|'eCrew.01'|'Crew Member ID'|'NV'|
'EMSDataSet'|'element'|'eCrew.02'|'Crew Member Level'|'NV'|
'EMSDataSet'|'element'|'eCrew.03'|'Crew Member Response Role'|'NV'|
'EMSDataSet'|'element'|'eCrew.03'|'Crew Member Response Role'|'CorrelationID'|
'EMSDataSet'|'element'|'eTimes.01'|'PSAP Call Date/Time'|'NV'|
'EMSDataSet'|'element'|'eTimes.05'|'Unit En Route Date/Time'|'NV'|
'EMSDataSet'|'element'|'eTimes.06'|'Unit Arrived on Scene Date/Time'|'NV'|
'EMSDataSet'|'element'|'eTimes.07'|'Arrived at Patient Date/Time'|'NV'|
'EMSDataSet'|'element'|'eTimes.08'|'Transfer of EMS Patient Care Date/Time'|'NV'|
'EMSDataSet'|'element'|'eTimes.09'|'Unit Left Scene Date/Time'|'NV'|
'EMSDataSet'|'element'|'eTimes.11'|'Patient Arrived at Destination Date/Time'|'NV'|
'EMSDataSet'|'element'|'eTimes.12'|'Destination Patient Transfer of Care Date/Time'|'NV'|
'EMSDataSet'|'element'|'ePatient.02'|'Last Name'|'NV'|
'EMSDataSet'|'element'|'ePatient.02'|'Last Name'|'PN'|
'EMSDataSet'|'element'|'ePatient.03'|'First Name'|'NV'|
'EMSDataSet'|'element'|'ePatient.03'|'First Name'|'PN'|
'EMSDataSet'|'element'|'ePatient.05'|'Patient's Home Address'|'StreetAddress2'|
'EMSDataSet'|'element'|'ePatient.07'|'Patient's Home County'|'NV'|
'EMSDataSet'|'element'|'ePatient.08'|'Patient's Home State'|'NV'|
'EMSDataSet'|'element'|'ePatient.09'|'Patient's Home ZIP Code'|'NV'|
'EMSDataSet'|'element'|'ePatient.13'|'Gender'|'NV'|
'EMSDataSet'|'element'|'ePatient.14'|'Race'|'NV'|
'EMSDataSet'|'element'|'ePatient.14'|'Race'|'CorrelationID'|
'EMSDataSet'|'element'|'ePatient.15'|'Age'|'NV'|
'EMSDataSet'|'element'|'ePatient.16'|'Age Units'|'NV'|
'EMSDataSet'|'element'|'ePatient.17'|'Date of Birth'|'NV'|
'EMSDataSet'|'element'|'ePatient.17'|'Date of Birth'|'PN'|
'EMSDataSet'|'element'|'ePatient.18'|'Patient's Phone Number'|'PhoneNumberType'|
'EMSDataSet'|'element'|'ePatient.18'|'Patient's Phone Number'|'CorrelationID'|
'EMSDataSet'|'element'|'ePatient.19'|'Patient's Email Address'|'EmailAddressType'|
'EMSDataSet'|'element'|'ePatient.19'|'Patient's Email Address'|'CorrelationID'|
'EMSDataSet'|'element'|'ePayment.01'|'Primary Method of Payment'|'NV'|
'EMSDataSet'|'element'|'ePayment.04'|'Reason for Physician Certification Statement'|'CorrelationID'|
'EMSDataSet'|'group'|'ePayment.InsuranceGroup'|''|'CorrelationID'|
'EMSDataSet'|'element'|'ePayment.12'|'Insurance Company Address'|'StreetAddress2'|
'EMSDataSet'|'element'|'ePayment.26'|'Closest Relative/ Guardian Street Address'|'StreetAddress2'|
'EMSDataSet'|'element'|'ePayment.31'|'Closest Relative/ Guardian Phone Number'|'PhoneNumberType'|
'EMSDataSet'|'element'|'ePayment.31'|'Closest Relative/ Guardian Phone Number'|'CorrelationID'|
'EMSDataSet'|'element'|'ePayment.34'|'Patient's Employer's Address'|'StreetAddress2'|
'EMSDataSet'|'element'|'ePayment.39'|'Patient's Employer's Primary Phone Number'|'PhoneNumberType'|
'EMSDataSet'|'element'|'ePayment.41'|'Patient Transport Assessment'|'CorrelationID'|
'EMSDataSet'|'element'|'ePayment.42'|'Specialty Care Transport Care Provider'|'CorrelationID'|
'EMSDataSet'|'element'|'ePayment.44'|'Ambulance Transport Reason Code'|'CorrelationID'|
'EMSDataSet'|'element'|'ePayment.47'|'Ambulance Conditions Indicator'|'CorrelationID'|
'EMSDataSet'|'element'|'ePayment.50'|'CMS Service Level'|'NV'|
'EMSDataSet'|'element'|'ePayment.51'|'EMS Condition Code'|'CorrelationID'|
'EMSDataSet'|'element'|'ePayment.52'|'CMS Transportation Indicator'|'CorrelationID'|
'EMSDataSet'|'group'|'ePayment.SupplyItemGroup'|''|'CorrelationID'|
'EMSDataSet'|'element'|'eScene.01'|'First EMS Unit on Scene'|'NV'|
'EMSDataSet'|'group'|'eScene.ResponderGroup'|''|'CorrelationID'|
'EMSDataSet'|'element'|'eScene.06'|'Number of Patients at Scene'|'NV'|
'EMSDataSet'|'element'|'eScene.07'|'Mass Casualty Incident'|'NV'|
'EMSDataSet'|'element'|'eScene.08'|'Triage Classification for MCI Patient'|'NV'|
'EMSDataSet'|'element'|'eScene.09'|'Incident Location Type'|'NV'|
'EMSDataSet'|'element'|'eScene.10'|'Incident Facility Code'|'NV'|
'EMSDataSet'|'element'|'eScene.14'|'Mile Post or Major Roadway'|'NV'|
'EMSDataSet'|'element'|'eScene.15'|'Incident Street Address'|'NV'|
'EMSDataSet'|'element'|'eScene.15'|'Incident Street Address'|'StreetAddress2'|
'EMSDataSet'|'element'|'eScene.16'|'Incident Apartment, Suite, or Room'|'NV'|
'EMSDataSet'|'element'|'eScene.17'|'Incident City'|'NV'|
'EMSDataSet'|'element'|'eScene.18'|'Incident State'|'NV'|
'EMSDataSet'|'element'|'eScene.19'|'Incident ZIP Code'|'NV'|
'EMSDataSet'|'element'|'eScene.20'|'Scene Cross Street or Directions'|'NV'|
'EMSDataSet'|'element'|'eScene.21'|'Incident County'|'NV'|
'EMSDataSet'|'element'|'eSituation.01'|'Date/Time of Symptom Onset'|'NV'|
'EMSDataSet'|'element'|'eSituation.02'|'Possible Injury'|'NV'|
'EMSDataSet'|'group'|'eSituation.PatientComplaintGroup'|''|'CorrelationID'|
'EMSDataSet'|'element'|'eSituation.03'|'Complaint Type'|'NV'|
'EMSDataSet'|'element'|'eSituation.04'|'Complaint'|'NV'|
'EMSDataSet'|'element'|'eSituation.05'|'Duration of Complaint'|'NV'|
'EMSDataSet'|'element'|'eSituation.06'|'Time Units of Duration of Complaint'|'NV'|
'EMSDataSet'|'element'|'eSituation.07'|'Chief Complaint Anatomic Location'|'NV'|
'EMSDataSet'|'element'|'eSituation.08'|'Chief Complaint Organ System'|'NV'|
'EMSDataSet'|'element'|'eSituation.09'|'Primary Symptom'|'NV'|
'EMSDataSet'|'element'|'eSituation.10'|'Other Associated Symptoms'|'NV'|
'EMSDataSet'|'element'|'eSituation.10'|'Other Associated Symptoms'|'CorrelationID'|
'EMSDataSet'|'element'|'eSituation.11'|'Provider's Primary Impression'|'NV'|
'EMSDataSet'|'element'|'eSituation.12'|'Provider's Secondary Impressions'|'NV'|
'EMSDataSet'|'element'|'eSituation.12'|'Provider's Secondary Impressions'|'CorrelationID'|
'EMSDataSet'|'element'|'eSituation.13'|'Initial Patient Acuity'|'NV'|
'EMSDataSet'|'element'|'eSituation.14'|'Work-Related Illness/Injury'|'NV'|
'EMSDataSet'|'element'|'eSituation.17'|'Patient Activity'|'CorrelationID'|
'EMSDataSet'|'element'|'eSituation.17'|'Patient Activity'|'NV'|
'EMSDataSet'|'element'|'eInjury.01'|'Cause of Injury'|'NV'|
'EMSDataSet'|'element'|'eInjury.01'|'Cause of Injury'|'CorrelationID'|
'EMSDataSet'|'element'|'eInjury.02'|'Mechanism of Injury'|'NV'|
'EMSDataSet'|'element'|'eInjury.02'|'Mechanism of Injury'|'CorrelationID'|
'EMSDataSet'|'element'|'eInjury.03'|'Trauma Center Criteria'|'NV'|
'EMSDataSet'|'element'|'eInjury.03'|'Trauma Center Criteria'|'CorrelationID'|
'EMSDataSet'|'element'|'eInjury.04'|'Vehicular, Pedestrian, or Other Injury Risk Factor'|'NV'|
'EMSDataSet'|'element'|'eInjury.04'|'Vehicular, Pedestrian, or Other Injury Risk Factor'|'CorrelationID'|
'EMSDataSet'|'element'|'eInjury.07'|'Use of Occupant Safety Equipment'|'NV'|
'EMSDataSet'|'element'|'eInjury.07'|'Use of Occupant Safety Equipment'|'CorrelationID'|
'EMSDataSet'|'element'|'eInjury.08'|'Airbag Deployment'|'CorrelationID'|
'EMSDataSet'|'element'|'eInjury.10'|'OSHA Personal Protective Equipment Used'|'CorrelationID'|
'EMSDataSet'|'element'|'eInjury.13'|'ACN Call Back Phone Number'|'PhoneNumberType'|
'EMSDataSet'|'element'|'eInjury.13'|'ACN Call Back Phone Number'|'CorrelationID'|
'EMSDataSet'|'element'|'eInjury.22'|'ACN Incident Delta Velocity'|'DeltaVelocityOrdinal'|
'EMSDataSet'|'element'|'eInjury.22'|'ACN Incident Delta Velocity'|'VelocityUnit'|
'EMSDataSet'|'element'|'eInjury.22'|'ACN Incident Delta Velocity'|'CorrelationID'|
'EMSDataSet'|'group'|'eInjury.SeatGroup'|''|'CorrelationID'|
'EMSDataSet'|'element'|'eArrest.01'|'Cardiac Arrest'|'NV'|
'EMSDataSet'|'element'|'eArrest.02'|'Cardiac Arrest Etiology'|'NV'|
'EMSDataSet'|'element'|'eArrest.03'|'Resuscitation Attempted By EMS'|'NV'|
'EMSDataSet'|'element'|'eArrest.03'|'Resuscitation Attempted By EMS'|'CorrelationID'|
'EMSDataSet'|'element'|'eArrest.04'|'Arrest Witnessed By'|'NV'|
'EMSDataSet'|'element'|'eArrest.04'|'Arrest Witnessed By'|'CorrelationID'|
'EMSDataSet'|'element'|'eArrest.05'|'CPR Care Provided Prior to EMS Arrival'|'NV'|
'EMSDataSet'|'element'|'eArrest.06'|'Who Provided CPR Prior to EMS Arrival'|'CorrelationID'|
'EMSDataSet'|'element'|'eArrest.07'|'AED Use Prior to EMS Arrival'|'NV'|
'EMSDataSet'|'element'|'eArrest.08'|'Who Used AED Prior to EMS Arrival'|'CorrelationID'|
'EMSDataSet'|'element'|'eArrest.09'|'Type of CPR Provided'|'NV'|
'EMSDataSet'|'element'|'eArrest.09'|'Type of CPR Provided'|'CorrelationID'|
'EMSDataSet'|'element'|'eArrest.11'|'First Monitored Arrest Rhythm of the Patient'|'NV'|
'EMSDataSet'|'element'|'eArrest.12'|'Any Return of Spontaneous Circulation'|'NV'|
'EMSDataSet'|'element'|'eArrest.12'|'Any Return of Spontaneous Circulation'|'CorrelationID'|
'EMSDataSet'|'element'|'eArrest.14'|'Date/Time of Cardiac Arrest'|'NV'|
'EMSDataSet'|'element'|'eArrest.15'|'Date/Time Resuscitation Discontinued'|'NV'|
'EMSDataSet'|'element'|'eArrest.16'|'Reason CPR/Resuscitation Discontinued'|'NV'|
'EMSDataSet'|'element'|'eArrest.17'|'Cardiac Rhythm on Arrival at Destination'|'NV'|
'EMSDataSet'|'element'|'eArrest.17'|'Cardiac Rhythm on Arrival at Destination'|'CorrelationID'|
'EMSDataSet'|'element'|'eArrest.18'|'End of EMS Cardiac Arrest Event'|'NV'|
'EMSDataSet'|'element'|'eHistory.01'|'Barriers to Patient Care'|'NV'|
'EMSDataSet'|'element'|'eHistory.01'|'Barriers to Patient Care'|'CorrelationID'|
'EMSDataSet'|'group'|'eHistory.PractitionerGroup'|''|'CorrelationID'|
'EMSDataSet'|'element'|'eHistory.05'|'Advance Directives'|'NV'|
'EMSDataSet'|'element'|'eHistory.05'|'Advance Directives'|'CorrelationID'|
'EMSDataSet'|'element'|'eHistory.06'|'Medication Allergies'|'NV'|
'EMSDataSet'|'element'|'eHistory.06'|'Medication Allergies'|'PN'|
'EMSDataSet'|'element'|'eHistory.06'|'Medication Allergies'|'CodeType'|
'EMSDataSet'|'element'|'eHistory.06'|'Medication Allergies'|'CorrelationID'|
'EMSDataSet'|'element'|'eHistory.07'|'Environmental/Food Allergies'|'CorrelationID'|
'EMSDataSet'|'element'|'eHistory.08'|'Medical/Surgical History'|'NV'|
'EMSDataSet'|'element'|'eHistory.08'|'Medical/Surgical History'|'PN'|
'EMSDataSet'|'element'|'eHistory.08'|'Medical/Surgical History'|'CorrelationID'|
'EMSDataSet'|'element'|'eHistory.09'|'Medical History Obtained From'|'CorrelationID'|
'EMSDataSet'|'group'|'eHistory.ImmunizationsGroup'|''|'CorrelationID'|
'EMSDataSet'|'group'|'eHistory.CurrentMedsGroup'|''|'CorrelationID'|
'EMSDataSet'|'element'|'eHistory.12'|'Current Medications'|'PN'|
'EMSDataSet'|'element'|'eHistory.12'|'Current Medications'|'NV'|
'EMSDataSet'|'element'|'eHistory.17'|'Alcohol/Drug Use Indicators'|'PN'|
'EMSDataSet'|'element'|'eHistory.17'|'Alcohol/Drug Use Indicators'|'NV'|
'EMSDataSet'|'element'|'eHistory.17'|'Alcohol/Drug Use Indicators'|'CorrelationID'|
'EMSDataSet'|'element'|'eHistory.18'|'Pregnancy'|'PN'|
'EMSDataSet'|'element'|'eNarrative.01'|'Patient Care Report Narrative'|'NV'|
'EMSDataSet'|'group'|'eVitals.VitalGroup'|''|'CorrelationID'|
'EMSDataSet'|'element'|'eVitals.01'|'Date/Time Vital Signs Taken'|'NV'|
'EMSDataSet'|'element'|'eVitals.02'|'Obtained Prior to this Unit's EMS Care'|'NV'|
'EMSDataSet'|'group'|'eVitals.CardiacRhythmGroup'|''|'CorrelationID'|
'EMSDataSet'|'element'|'eVitals.03'|'Cardiac Rhythm / Electrocardiography (ECG)'|'PN'|
'EMSDataSet'|'element'|'eVitals.03'|'Cardiac Rhythm / Electrocardiography (ECG)'|'NV'|
'EMSDataSet'|'element'|'eVitals.03'|'Cardiac Rhythm / Electrocardiography (ECG)'|'CorrelationID'|
'EMSDataSet'|'element'|'eVitals.04'|'ECG Type'|'NV'|
'EMSDataSet'|'element'|'eVitals.05'|'Method of ECG Interpretation'|'NV'|
'EMSDataSet'|'element'|'eVitals.05'|'Method of ECG Interpretation'|'CorrelationID'|
'EMSDataSet'|'element'|'eVitals.06'|'SBP (Systolic Blood Pressure)'|'PN'|
'EMSDataSet'|'element'|'eVitals.06'|'SBP (Systolic Blood Pressure)'|'NV'|
'EMSDataSet'|'element'|'eVitals.07'|'DBP (Diastolic Blood Pressure)'|'PN'|
'EMSDataSet'|'element'|'eVitals.07'|'DBP (Diastolic Blood Pressure)'|'NV'|
'EMSDataSet'|'element'|'eVitals.08'|'Method of Blood Pressure Measurement'|'NV'|
'EMSDataSet'|'element'|'eVitals.10'|'Heart Rate'|'PN'|
'EMSDataSet'|'element'|'eVitals.10'|'Heart Rate'|'NV'|
'EMSDataSet'|'element'|'eVitals.12'|'Pulse Oximetry'|'PN'|
'EMSDataSet'|'element'|'eVitals.12'|'Pulse Oximetry'|'NV'|
'EMSDataSet'|'element'|'eVitals.14'|'Respiratory Rate'|'PN'|
'EMSDataSet'|'element'|'eVitals.14'|'Respiratory Rate'|'NV'|
'EMSDataSet'|'element'|'eVitals.16'|'End Tidal Carbon Dioxide (ETCO2)'|'PN'|
'EMSDataSet'|'element'|'eVitals.16'|'End Tidal Carbon Dioxide (ETCO2)'|'NV'|
'EMSDataSet'|'element'|'eVitals.17'|'Carbon Monoxide (CO)'|'PN'|
'EMSDataSet'|'element'|'eVitals.17'|'Carbon Monoxide (CO)'|'NV'|
'EMSDataSet'|'element'|'eVitals.18'|'Blood Glucose Level'|'PN'|
'EMSDataSet'|'element'|'eVitals.18'|'Blood Glucose Level'|'NV'|
'EMSDataSet'|'element'|'eVitals.19'|'Glasgow Coma Score-Eye'|'PN'|
